ProfileID,GameID,RoundID,Token,Invest,Market2,Total,Fee,Fine,Paid,Total2,Seq1,Seq2,Seq3,Seq4,Received,Session,Treat,Homo,FF,Public,Gender,Age,GPA,Hour,MaxED,,,,,,,,
1360,3,8,60,40,113,133,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,23,3.3,0,10,,,,,,,,
1200,3,9,40,30,90,100,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,21,2.7,18,4,,,,,,,,
1220,3,9,40,15,45,70,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,22,2.9,0,0,,,,,,,,
1340,3,9,60,37,111,134,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,20,3.3,16,3,,,,,,,,
1360,3,9,60,38,114,136,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,23,3.3,0,10,,,,,,,,
1200,3,10,40,35,81.38,86.38,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,21,2.7,18,4,,,,,,,,
1220,3,10,40,38,88.35,90.35,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,22,2.9,0,0,,,,,,,,
1340,3,10,60,34,79.05,105.05,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,20,3.3,16,3,,,,,,,,
1360,3,10,60,40,93,113,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,23,3.3,0,10,,,,,,,,
1200,3,11,40,28,59.5,71.5,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,21,2.7,18,4,,,,,,,,
1220,3,11,40,37,78.63,81.63,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,22,2.9,0,0,,,,,,,,
1340,3,11,60,30,63.75,93.75,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,20,3.3,16,3,,,,,,,,
1360,3,11,60,60,127.5,127.5,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,23,3.3,0,10,,,,,,,,
1200,3,12,40,30,79.5,89.5,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,21,2.7,18,4,,,,,,,,
1220,3,12,40,34,90.1,96.1,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,22,2.9,0,0,,,,,,,,
1340,3,12,60,25,66.25,101.25,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,20,3.3,16,3,,,,,,,,
1360,3,12,60,45,119.25,134.25,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,23,3.3,0,10,,,,,,,,
1200,3,13,40,30,72.75,82.75,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,21,2.7,18,4,,,,,,,,
1220,3,13,40,33,80.03,87.03,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,22,2.9,0,0,,,,,,,,
1340,3,13,60,38,92.15,114.15,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,20,3.3,16,3,,,,,,,,
